Package-net,p1_name,p2_name,LPD (ns)
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[7],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[7],u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[7],1.31512
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[6],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[6],u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[6],1.32164
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[5],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[5],u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[5],1.31809
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[4],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[4],u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[4],1.32548
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[3],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[3],u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[3],1.32007
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[2],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[2],u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[2],1.3249
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[1],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[1],u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[1],1.32661
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[0],u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[0],u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[0],1.32024
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_chip_select,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_chip_select,u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_chip_select,2.063639
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic1_,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic1_,u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic1_,0
u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic0_,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic0_,u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic0_,0
u_ahb_ram_genblk3_u_fpga_sram_n2,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_n2,u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_n2,2.001959
u_ahb_ram_genblk3_SRAMWDATA[31],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[31],u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[31],1.00165
u_ahb_ram_genblk3_SRAMWDATA[30],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[30],u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[30],1.01304
u_ahb_ram_genblk3_SRAMWDATA[29],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[29],u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[29],1.00098
u_ahb_ram_genblk3_SRAMWDATA[28],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[28],u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[28],1.00767
u_ahb_ram_genblk3_SRAMWDATA[27],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[27],u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[27],0.99929
u_ahb_ram_genblk3_SRAMWDATA[26],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[26],u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[26],0.99882
u_ahb_ram_genblk3_SRAMWDATA[25],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[25],u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[25],1.00215
u_ahb_ram_genblk3_SRAMWDATA[24],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[24],u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[24],1.01831
u_ahb_ram_genblk3_SRAMADDR[9],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[9],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[9],2.169242
u_ahb_ram_genblk3_SRAMADDR[8],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[8],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[8],2.169242
u_ahb_ram_genblk3_SRAMADDR[7],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[7],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[7],2.169242
u_ahb_ram_genblk3_SRAMADDR[6],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[6],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[6],2.169242
u_ahb_ram_genblk3_SRAMADDR[5],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[5],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[5],2.169242
u_ahb_ram_genblk3_SRAMADDR[4],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[4],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[4],2.169242
u_ahb_ram_genblk3_SRAMADDR[3],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[3],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[3],2.169242
u_ahb_ram_genblk3_SRAMADDR[2],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[2],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[2],2.169242
u_ahb_ram_genblk3_SRAMADDR[1],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[1],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[1],2.169242
u_ahb_ram_genblk3_SRAMADDR[11],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[11],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[11],2.169242
u_ahb_ram_genblk3_SRAMADDR[10],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[10],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[10],2.169242
u_ahb_ram_genblk3_SRAMADDR[0],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[0],u_mem_context2/u_ahb_ram_genblk3_SRAMADDR[0],2.169242
gated_hclk,u_mem_context1/gated_hclk,u_mem_context2/gated_hclk,-1
